--------------------------------------------------------------------------------
Datum und Uhrzeit: 2023-06-26 21:25:52
Passwortalter, Datum der letzten Anmeldung und Anzahl der Logins für jeden Benutzer:


Benutzername         Passwortalter                               Letzte Anmeldung    Anzahl der Logins
------------         -------------                               ----------------    -----------------
aagas_rasu           1 Tage, 10 Stunden, 46 Minuten, 0 Sekunden  26.06.2023 17:37:27                 6
aaron_rueegger       1 Tage, 10 Stunden, 48 Minuten, 0 Sekunden                                      0
aaron_studer         1 Tage, 10 Stunden, 46 Minuten, 54 Sekunden                                     0
abdirahman_ahmed     1 Tage, 10 Stunden, 45 Minuten, 47 Sekunden                                     0
abdulfatah_mohamed   1 Tage, 10 Stunden, 45 Minuten, 20 Sekunden                                     0
abdulkadir_dagci     1 Tage, 10 Stunden, 47 Minuten, 45 Sekunden                                     0
abdullah_habibi      1 Tage, 10 Stunden, 45 Minuten, 21 Sekunden                                     0
abdulsalam_mohamed   1 Tage, 10 Stunden, 44 Minuten, 39 Sekunden                                     0
abel_bahlibi         1 Tage, 10 Stunden, 44 Minuten, 46 Sekunden                                     0
abel_kibrom          1 Tage, 10 Stunden, 44 Minuten, 42 Sekunden                                     0
abel_minasse         1 Tage, 10 Stunden, 44 Minuten, 44 Sekunden                                     0
abel_zera            1 Tage, 10 Stunden, 45 Minuten, 41 Sekunden                                     0
abisan_sivananthan   1 Tage, 10 Stunden, 46 Minuten, 57 Sekunden                                     0
abishan_jegatheswara 1 Tage, 10 Stunden, 37 Minuten, 3 Sekunden                                      0
abubakar_abdi        1 Tage, 10 Stunden, 45 Minuten, 21 Sekunden                                     0
adem_mahmuti         1 Tage, 10 Stunden, 47 Minuten, 17 Sekunden                                     0
adem_omerovic        1 Tage, 10 Stunden, 45 Minuten, 50 Sekunden                                     0
adrian_pfeiffer      1 Tage, 10 Stunden, 47 Minuten, 9 Sekunden                                      0
adrian_singeisen     1 Tage, 10 Stunden, 46 Minuten, 57 Sekunden                                     0
adrian_wanner        1 Tage, 10 Stunden, 46 Minuten, 46 Sekunden                                     0
adrian_willi         1 Tage, 10 Stunden, 45 Minuten, 42 Sekunden                                     0
adriana_faraci       1 Tage, 10 Stunden, 45 Minuten, 56 Sekunden                                     0
adriatik_abdullahu   1 Tage, 10 Stunden, 47 Minuten, 59 Sekunden                                     0
afewerki_hlawe       1 Tage, 10 Stunden, 44 Minuten, 43 Sekunden                                     0
ahmad_nattouf        1 Tage, 10 Stunden, 45 Minuten, 20 Sekunden                                     0
ahmed_mustafa        1 Tage, 10 Stunden, 47 Minuten, 13 Sekunden                                     0
ajet_usejni          1 Tage, 10 Stunden, 46 Minuten, 50 Sekunden                                     0
akbar_naseri         1 Tage, 10 Stunden, 44 Minuten, 42 Sekunden                                     0
alain_haldi          1 Tage, 10 Stunden, 47 Minuten, 30 Sekunden                                     0
alan_luethy          1 Tage, 10 Stunden, 45 Minuten, 41 Sekunden                                     0
alan_sabotic         1 Tage, 10 Stunden, 45 Minuten, 1 Sekunden                                      0
albijana_alimusaj    1 Tage, 10 Stunden, 44 Minuten, 49 Sekunden                                     0
